"ens_gene"	"target_id"	"pval"	"qval"	"num_transcripts"	"all_target_ids"
"1"	"ENSG00000001036"	"ENST00000002165"	0.665887418088798	0.911811748632956	3	"ENST00000002165"
"2"	"ENSG00000002834"	"ENST00000318008"	0.00856006902528995	0.108577717636573	9	"ENST00000318008"
"3"	"ENSG00000003436"	"ENST00000426055"	0.0288715375904847	0.244141774010765	13	"ENST00000426055"
"4"	"ENSG00000005893"	"ENST00000200639"	0.163162327801248	0.575791669376691	4	"ENST00000200639"
"5"	"ENSG00000007341"	"ENST00000360743"	0.87497091548606	0.993117095472403	28	"ENST00000360743"
"6"	"ENSG00000011028"	"ENST00000583597"	0.444164706651073	0.801825425489952	7	"ENST00000583597"
"7"	"ENSG00000011465"	"ENST00000547568"	0.340516725298222	0.750048469056641	20	"ENST00000547568"
"8"	"ENSG00000013563"	"ENST00000369807"	0.14740724923384	0.555080422896177	12	"ENST00000369807"
"9"	"ENSG00000020577"	"ENST00000251091"	0.706314520810328	0.932365020454644	13	"ENST00000251091"
"10"	"ENSG00000031003"	"ENST00000033079"	0.501908948219465	0.848842501900989	11	"ENST00000033079"
"11"	"ENSG00000031698"	"ENST00000234677"	0.0773064407073233	0.414018938010331	6	"ENST00000234677"
"12"	"ENSG00000032444"	"ENST00000600737"	0.306184933560571	0.730114587318846	24	"ENST00000600737"
"13"	"ENSG00000038219"	"ENST00000040738"	0.104379276131888	0.471552424801439	6	"ENST00000040738"
"14"	"ENSG00000038382"	"ENST00000344204"	0.458389477876726	0.809317686214586	24	"ENST00000344204"
"15"	"ENSG00000048471"	"ENST00000566228"	0.29009415176544	0.730114587318846	8	"ENST00000566228"
"16"	"ENSG00000054965"	"ENST00000064778"	0.0414028720883265	0.302366429493536	4	"ENST00000064778"
"17"	"ENSG00000055208"	"ENST00000470466"	0.217485977984586	0.644887647910558	7	"ENST00000470466"
"18"	"ENSG00000058272"	"ENST00000261207"	0.984082947002992	0.99550607877328	22	"ENST00000261207"
"19"	"ENSG00000060237"	"ENST00000535572"	0.557120266357736	0.879330978495898	21	"ENST00000535572"
"20"	"ENSG00000062485"	"ENST00000351328"	0.830843325265804	0.983947132132967	33	"ENST00000351328"
"21"	"ENSG00000063046"	"ENST00000262056"	0.324710459605712	0.750048469056641	14	"ENST00000262056"
"22"	"ENSG00000063244"	"ENST00000450554"	0.467440380977693	0.813380013109199	8	"ENST00000450554"
"23"	"ENSG00000064666"	"ENST00000263097"	0.0946831258442945	0.447424182911274	12	"ENST00000263097"
"24"	"ENSG00000064726"	"ENST00000261721"	0.916427161992863	0.993117095472403	5	"ENST00000261721"
"25"	"ENSG00000066084"	"ENST00000301180"	0.0365559755433186	0.282715149174955	5	"ENST00000301180"
"26"	"ENSG00000067057"	"ENST00000381125"	0.00648435714299661	0.0947109134219505	12	"ENST00000381125"
"27"	"ENSG00000067704"	"ENST00000366922"	0.895513131380949	0.993117095472403	4	"ENST00000366922"
"28"	"ENSG00000068366"	"ENST00000469796"	0.00828253529578343	0.107896811150476	12	"ENST00000469796"
"29"	"ENSG00000068912"	"ENST00000185150"	0.557636451447405	0.879330978495898	4	"ENST00000185150"
"30"	"ENSG00000069493"	"ENST00000444971"	0.364235092788087	0.767375782581297	16	"ENST00000444971"
"31"	"ENSG00000070831"	"ENST00000344548"	0.377475633813449	0.787363660841254	5	"ENST00000344548"
"32"	"ENSG00000072958"	"ENST00000291439"	0.3105259136937	0.730114587318846	15	"ENST00000291439"
"33"	"ENSG00000073008"	"ENST00000425690"	0.406278608163857	0.78972013451792	6	"ENST00000425690"
"34"	"ENSG00000074800"	"ENST00000234590"	1.28204843774903e-09	1.02991224499172e-07	6	"ENST00000234590"
