"ens_gene"	"most_sig_transcript"	"pval"	"qval"	"num_transcripts"	"list_of_transcripts"
"1"	"ENSG00000001036"	"ENST00000002165"	0.668306306148245	0.915799141685935	3	"ENST00000002165, ENST00000367585, ENST00000451668"
"2"	"ENSG00000002834"	"ENST00000318008"	0.00592852312546948	0.0892983795773841	9	"ENST00000318008, ENST00000435347, ENST00000419929, ENST00000433206, ENST00000443937, ENST00000579123, ENST00000581485, ENST00000584106, ENST00000585841"
"3"	"ENSG00000003436"	"ENST00000426055"	0.0316253905211152	0.267428740897851	13	"ENST00000426055, ENST00000392365, ENST00000233156, ENST00000339091, ENST00000409676, ENST00000417013, ENST00000420747, ENST00000421427, ENST00000435414, ENST00000437725, ENST00000453013, ENST00000481132, ENST00000481389"
"4"	"ENSG00000005893"	"ENST00000371335"	0.163162327801248	0.574803513501734	4	"ENST00000371335, ENST00000200639, ENST00000434600, ENST00000486593"
"5"	"ENSG00000007341"	"ENST00000360743"	0.877181529581249	0.994531751688896	28	"ENST00000360743, ENST00000343210, ENST00000358039, ENST00000361846, ENST00000369664, ENST00000369666, ENST00000369669, ENST00000418497, ENST00000459630, ENST00000463235, ENST00000466360, ENST00000467335, ENST00000470519, ENST00000470683, ENST00000473206, ENST00000477332, ENST00000477682, ENST00000479436, ENST00000480988, ENST00000485753, ENST00000490067, ENST00000490715, ENST00000492274, ENST00000495109, ENST00000497235, ENST00000497457, ENST00000498197, ENST00000498383"
"6"	"ENSG00000011028"	"ENST00000583597"	0.444091889583748	0.798280070206434	7	"ENST00000583597, ENST00000303375, ENST00000584265, ENST00000446119, ENST00000579432, ENST00000580916, ENST00000584682"
"7"	"ENSG00000011465"	"ENST00000547568"	0.340516725298222	0.752885603641022	20	"ENST00000547568, ENST00000552962, ENST00000550563, ENST00000393155, ENST00000052754, ENST00000420120, ENST00000425043, ENST00000441303, ENST00000456569, ENST00000546370, ENST00000546391, ENST00000546745, ENST00000547937, ENST00000548218, ENST00000548768, ENST00000549513, ENST00000550099, ENST00000550758, ENST00000551354, ENST00000552145"
"8"	"ENSG00000013563"	"ENST00000369807"	0.14740724923384	0.555080422896177	12	"ENST00000369807, ENST00000014935, ENST00000309585, ENST00000369808, ENST00000369809, ENST00000393638, ENST00000412184, ENST00000424626, ENST00000432135, ENST00000447892, ENST00000451865, ENST00000497242"
"9"	"ENSG00000020577"	"ENST00000251091"	0.706314520810328	0.932365020454644	13	"ENST00000251091, ENST00000392067, ENST00000553988, ENST00000554335, ENST00000554587, ENST00000555091, ENST00000555112, ENST00000555192, ENST00000555719, ENST00000556069, ENST00000557013, ENST00000557692, ENST00000631086"
"10"	"ENSG00000031003"	"ENST00000033079"	0.507357040290246	0.849118379930203	11	"ENST00000033079, ENST00000420893, ENST00000425075, ENST00000502471, ENST00000505281, ENST00000505961, ENST00000508403, ENST00000509596, ENST00000510804, ENST00000513640, ENST00000514310"
"11"	"ENSG00000031698"	"ENST00000234677"	0.0767533547764421	0.411056855580501	6	"ENST00000234677, ENST00000369923, ENST00000468588, ENST00000471705, ENST00000477544, ENST00000482384"
"12"	"ENSG00000032444"	"ENST00000600737"	0.306184933560571	0.729154964678744	24	"ENST00000600737, ENST00000221249, ENST00000414982, ENST00000450331, ENST00000545201, ENST00000593924, ENST00000594098, ENST00000594551, ENST00000594754, ENST00000594864, ENST00000595176, ENST00000595264, ENST00000595352, ENST00000595889, ENST00000596515, ENST00000597202, ENST00000598462, ENST00000599311, ENST00000599947, ENST00000599951, ENST00000600942, ENST00000601001, ENST00000601668, ENST00000602191"
"13"	"ENSG00000038219"	"ENST00000040738"	0.104379276131888	0.480284877112577	6	"ENST00000040738, ENST00000482713, ENST00000505343, ENST00000507943, ENST00000509897, ENST00000511119"
