target_id	length	eff_length	est_counts	tpm
ENST00000415118	8	2.64436	0	0
ENST00000448914	13	2.84272	0	0
ENST00000434970	9	2.70348	0	0
ENST00000390577	37	3.23562	0	0
ENST00000437320	19	2.9501	0	0
ENST00000450276	17	2.91871	0	0
ENST00000390575	20	2.96527	0	0
ENST00000454908	17	2.91871	0	0
ENST00000430425	17	2.91871	0	0
ENST00000390572	28	3.08673	0	0
ENST00000390583	31	3.13457	0	0
ENST00000454691	18	2.93465	0	0
ENST00000439842	11	2.78701	0	0
ENST00000390591	31	3.13457	0	0
ENST00000604642	23	3.01024	0	0
ENST00000603326	19	2.9501	0	0
ENST00000604950	31	3.13457	0	0
ENST00000603077	31	3.13457	0	0
ENST00000605284	17	2.91871	0	0
ENST00000604446	23	3.01024	0	0
ENST00000603693	19	2.9501	0	0
ENST00000603935	31	3.13457	0	0
ENST00000604102	31	3.13457	0	0
ENST00000604838	17	2.91871	0	0
ENST00000451044	17	2.91871	0	0
ENST00000390581	23	3.01024	0	0
ENST00000390590	31	3.13457	0	0
ENST00000390588	20	2.96527	0	0
ENST00000390584	31	3.13457	0	0
ENST00000452198	18	2.93465	0	0
ENST00000414852	16	2.90202	0	0
ENST00000390585	31	3.13457	0	0
ENST00000390571	31	3.13457	0	0
ENST00000390578	31	3.13457	0	0
ENST00000390567	20	2.96527	0	0
ENST00000431440	16	2.90202	0	0
ENST00000390569	20	2.96527	0	0
ENST00000390574	21	2.98029	0	0
ENST00000390580	21	2.98029	0	0
ENST00000431870	16	2.90202	0	0
ENST00000390389	335	156	0	0
ENST00000390374	392	213	0	0
ENST00000390375	384	205	0	0
ENST00000390432	379	200	0	0
ENST00000390433	340	161	0	0
ENST00000390434	566	387	0	0
ENST00000390435	341	162	0	0
ENST00000390376	341	162	0	0
ENST00000390377	347	168	0	0
ENST00000390436	360	181	0	0
ENST00000390378	343	164	0	0
ENST00000612787	347	168	0	0
ENST00000614171	374	195	0	0
ENST00000611462	368	189	0	0
ENST00000611787	392	213	0	0
ENST00000620569	409	230	0	0
ENST00000617347	406	227	0	0
ENST00000621184	411	232	0	0
ENST00000390437	445	266	0	0
ENST00000390438	469	290	0	0
ENST00000390442	399	220	0	0
ENST00000390453	343	164	0	0
ENST00000390454	403	224	0	0
ENST00000390443	561	382	0	0
ENST00000455382	421	242	0	0
ENST00000390387	391	212	0	0
ENST00000390357	373	194	0	0
ENST00000390381	652	473	0	0
ENST00000390439	410	231	0	0
ENST00000390399	387	208	0	0
ENST00000390400	364	185	0	0
ENST00000610416	1054	875	0	0
ENST00000379435	416	237	0	0
ENST00000390353	401	222	0	0
ENST00000390455	537	358	0	0
ENST00000547918	380	201	0	0
ENST00000390392	455	276	0	0
ENST00000390360	365	186	0	0
ENST00000390440	425	246	0	0
ENST00000390423	402	223	0	0
ENST00000390398	381	202	0	0
ENST00000617717	933	754	0	0
ENST00000612107	930	751	0	0
ENST00000390361	397	218	0	0
ENST00000390362	343	164	0	0
ENST00000390363	390	211	0	0
ENST00000390364	412	233	0	0
ENST00000422143	402	223	0	0
ENST00000390444	329	150	0	0
ENST00000390445	484	305	0	0
ENST00000390446	440	261	0	0
ENST00000390456	341	162	0	0
ENST00000390457	425	246	0	0
ENST00000444775	1735	1556	0	0
ENST00000390458	469	290	0	0
ENST00000557168	337	158	0	0
ENST00000390343	468	289	0	0
ENST00000426402	544	365	0	0
ENST00000390340	463	284	0	0
ENST00000390345	688	509	0	0
ENST00000613175	2233	2054	0	0
ENST00000390344	552	373	0	0
ENST00000390348	465	286	0	0
ENST00000390341	512	333	0	0
ENST00000390346	537	358	0	0
ENST00000390367	364	185	0	0
ENST00000390463	356	177	0	0
ENST00000390467	317	138	0	0
ENST00000390461	349	170	0	0
ENST00000390466	331	152	0	0
ENST00000426318	395	216	0	0
ENST00000390464	353	174	0	0
ENST00000331828	367	188	0	0
ENST00000390469	520	341	0	0
ENST00000390441	394	215	0	0
ENST00000390447	467	288	0	0
ENST00000390448	406	227	0	0
ENST00000390465	395	216	0	0
ENST00000535880	425	246	0	0
ENST00000390460	327	148	0	0
ENST00000390468	336	157	0	0
ENST00000390368	410	231	0	0
ENST00000390369	347	168	0	0
ENST00000454561	544	365	0	0
ENST00000390371	388	209	0	0
ENST00000390372	350	171	0	0
ENST00000617639	406	227	0	0
ENST00000390373	344	165	0	0
ENST00000390449	343	164	0	0
ENST00000390450	464	285	0	0
ENST00000390451	409	230	0	0
ENST00000390452	365	186	0	0
ENST00000621643	102	5.14791	0	0
ENST00000417977	447	268	0	0
ENST00000616518	421	242	0	0
ENST00000620773	347	168	0	0
ENST00000619103	344	165	0	0
ENST00000611520	428	249	0	0
ENST00000390393	552	373	0	0
ENST00000390394	413	234	0	0
ENST00000542354	392	213	0	0
ENST00000390396	347	168	0	0
ENST00000390397	381	202	0	0
ENST00000390424	348	169	0	0
ENST00000390425	519	340	0	0
ENST00000390426	395	216	0	0
ENST00000390427	352	173	0	0
ENST00000390428	404	225	0	0
ENST00000390429	337	158	0	0
